District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Adilabad (Urban),01-04-2019,0,25.3,42.5,12.2,42.8,0,2.8
Adilabad,Adilabad (Urban),02-04-2019,0,23.9,42.2,14.7,19.5,0.3,2.6
Adilabad,Adilabad (Urban),03-04-2019,0,27,41.5,16,50.5,0.2,1.8
Adilabad,Adilabad (Urban),04-04-2019,0,28,41.4,15.8,59.2,0.3,3
Adilabad,Adilabad (Urban),05-04-2019,0,25.9,40.6,20.4,49.5,0,2.9
Adilabad,Adilabad (Urban),06-04-2019,0,28.5,39.2,18.4,41.2,0,2.9
Adilabad,Adilabad (Urban),07-04-2019,0,27.7,41.5,13.2,53.5,0,17
Adilabad,Adilabad (Urban),08-04-2019,0,27.9,41.7,13,46.5,0,2.8
Adilabad,Adilabad (Urban),09-04-2019,0,29,42.2,12,48.4,0.3,2.3
Adilabad,Adilabad (Urban),10-04-2019,0,29.3,42.1,11,50.8,0.3,2.5
Adilabad,Adilabad (Urban),11-04-2019,0,30.2,42.2,10.8,53.5,0,2.5
Adilabad,Adilabad (Urban),12-04-2019,0,30.6,43.2,11.6,37.4,0.1,2.8
Adilabad,Adilabad (Urban),13-04-2019,0,28.9,42.4,14.8,42.3,0.4,3.1
Adilabad,Adilabad (Urban),14-04-2019,0,28.2,42.5,13.5,43.6,0,2
Adilabad,Adilabad (Urban),15-04-2019,0,31.5,43.6,13.1,36.7,0,3.6
Adilabad,Adilabad (Urban),16-04-2019,8.3,23.6,41.4,16.2,82.3,0,2.4
Adilabad,Adilabad (Urban),17-04-2019,0,23.8,39,22.6,79.3,0,2.8
Adilabad,Adilabad (Urban),18-04-2019,0,26,38,26.8,57.4,0,2.5
Adilabad,Adilabad (Urban),19-04-2019,0,26,39.3,20.9,64.7,0,1.8
Adilabad,Adilabad (Urban),20-04-2019,0,27.8,40.8,14.9,58.4,0.3,2.2
Adilabad,Adilabad (Urban),21-04-2019,0,28.4,40.6,21.6,57.8,0.1,3.3
Adilabad,Adilabad (Urban),22-04-2019,0,29,40.5,19.2,56.7,0,1.8
Adilabad,Adilabad (Urban),23-04-2019,0,27.4,39.4,35.7,55,0,5.3
Adilabad,Adilabad (Urban),24-04-2019,0,28.2,42,13.3,50.8,0.3,2.6
Adilabad,Adilabad (Urban),25-04-2019,0,30.5,42.6,14.5,42.4,0,2.9
Adilabad,Adilabad (Urban),26-04-2019,0,31.5,43.6,11.8,37.5,0,2.2
Adilabad,Adilabad (Urban),27-04-2019,0,32.6,44.5,12.8,35.9,0.2,2.4
Adilabad,Adilabad (Urban),28-04-2019,0,33,44.5,14.7,40.5,0,2.3
Adilabad,Adilabad (Urban),29-04-2019,0,32.4,45.2,15.2,40.1,0.4,2.4
Adilabad,Adilabad (Urban),30-04-2019,0,31.8,44.5,14.8,39.8,0.3,2.4
Adilabad,Adilabad (Urban),01-05-2019,0,29.8,44.5,9.4,44.3,0,2.6
Adilabad,Adilabad (Urban),02-05-2019,0,30.1,43.7,11.2,39.4,0,2.3
Adilabad,Adilabad (Urban),03-05-2019,0,29,44.6,10.3,29,0,2.8
Adilabad,Adilabad (Urban),04-05-2019,0,29.6,40.5,17.8,26.7,0,3.6
Adilabad,Adilabad (Urban),05-05-2019,0,29.7,42,13.2,38.3,0,2.3
Adilabad,Adilabad (Urban),06-05-2019,0,27,42.9,12.6,35.5,0,3.8
Adilabad,Adilabad (Urban),07-05-2019,0,30.1,43,11.5,30.4,0,2.6
Adilabad,Adilabad (Urban),08-05-2019,0,30.9,44.6,10.2,27.3,0,3
Adilabad,Adilabad (Urban),09-05-2019,0,30.6,44.1,11.1,30.5,0,2.3
Adilabad,Adilabad (Urban),10-05-2019,0,28.7,43.3,13.2,35.7,0,2.3
Adilabad,Adilabad (Urban),11-05-2019,0,29.9,43.3,13.8,40.5,0,2.2
Adilabad,Adilabad (Urban),12-05-2019,0,31.5,42.8,17.8,46.8,0,2.8
Adilabad,Adilabad (Urban),13-05-2019,0,31,43.5,12.4,37.3,0,2.2
Adilabad,Adilabad (Urban),14-05-2019,0,28.6,42.7,12.8,31.4,0,1.8
Adilabad,Adilabad (Urban),15-05-2019,0,30.1,43,14.2,41.2,0,2.2
Adilabad,Adilabad (Urban),16-05-2019,0,31.9,44.3,11.8,44.5,0,2.2
Adilabad,Adilabad (Urban),17-05-2019,0,30,43.4,14.2,32.9,0,2
Adilabad,Adilabad (Urban),18-05-2019,0,30.1,43.7,12.6,34.2,0,2.4
