District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Bheempoor,01-07-2019,3.5,23.9,30.1,74.2,94.6,0.6,2.6
Adilabad,Bheempoor,02-07-2019,0,23.5,30.9,68.2,91.8,0.1,2.6
Adilabad,Bheempoor,03-07-2019,40.5,25,32.4,67.2,95.3,0.2,3.9
Adilabad,Bheempoor,04-07-2019,20,25.2,31.5,66.6,96.3,0,3.1
Adilabad,Bheempoor,05-07-2019,1,26.2,33.8,57.9,92.5,0.2,3.5
Adilabad,Bheempoor,06-07-2019,8.5,25.2,33.6,55.9,91.2,0.7,3.3
Adilabad,Bheempoor,07-07-2019,1.8,25.5,32.9,65.6,92.1,0.2,3.3
Adilabad,Bheempoor,08-07-2019,0,25.7,32.7,64.6,87.6,0.2,3.9
Adilabad,Bheempoor,09-07-2019,6.8,25.2,33.8,59.3,94.5,0.1,4.5
Adilabad,Bheempoor,10-07-2019,16.3,24,32.2,65.4,96.6,0,4
Adilabad,Bheempoor,11-07-2019,0,26.9,35.2,54.5,81.6,0.2,2.6
Adilabad,Bheempoor,12-07-2019,8.8,24.9,32.4,67.8,91.9,0.1,3.3
Adilabad,Bheempoor,13-07-2019,0,27.1,35.1,54.8,80.4,0,2.6
Adilabad,Bheempoor,14-07-2019,3.5,26.2,36.7,45.5,94.6,0,2.8
Adilabad,Bheempoor,15-07-2019,0.8,26.9,36.5,48.2,93,0,3.1
Adilabad,Bheempoor,16-07-2019,0,25.6,36.5,42.1,86.1,0,3.4
Adilabad,Bheempoor,17-07-2019,0,26.4,37,44.7,78,0,10.6
Adilabad,Bheempoor,18-07-2019,0,27.6,37.9,41.9,72.9,0,15.3
Adilabad,Bheempoor,19-07-2019,0,25.6,38.2,39.1,90.1,0,15.5
Adilabad,Bheempoor,20-07-2019,0,27.1,36.8,51.4,86.2,0,5.6
Adilabad,Bheempoor,21-07-2019,11,25,34.4,63.6,98,0,4.7
Adilabad,Bheempoor,22-07-2019,0,27.1,36.4,56.9,92.6,0,2.8
Adilabad,Bheempoor,23-07-2019,0,27.7,36.4,54.3,90.7,0,5.2
Adilabad,Bheempoor,24-07-2019,0,28,37.1,54.3,80.7,0,7.8
Adilabad,Bheempoor,25-07-2019,0,28.2,37.2,51.8,79.2,0,5.4
Adilabad,Bheempoor,26-07-2019,6.2,24.9,34.5,58.2,96.5,0,11.5
Adilabad,Bheempoor,27-07-2019,7.4,24.3,27.3,85.8,97.8,0,1.9
Adilabad,Bheempoor,28-07-2019,20,23.8,28.1,81.7,98.1,0,2.7
Adilabad,Bheempoor,29-07-2019,11.4,24.2,28.4,84.4,97.9,0,6.1
Adilabad,Bheempoor,30-07-2019,92.4,23.1,25,96.6,99.2,0,2.2
Adilabad,Bheempoor,31-07-2019,33.2,23.3,25,93.2,98.6,0,3.7
Adilabad,Bheempoor,01-08-2019,5.4,24.5,29.5,79.3,98.9,0,7.8
Adilabad,Bheempoor,02-08-2019,0.5,24.9,28.5,83.2,96.4,0,2.9
Adilabad,Bheempoor,03-08-2019,9.3,24.5,28.4,81,95.4,0.9,2.7
Adilabad,Bheempoor,04-08-2019,7.8,24.4,26.7,82.8,98.3,0.2,3.5
Adilabad,Bheempoor,05-08-2019,0,26.2,31.3,73.3,83.3,0.8,3.4
Adilabad,Bheempoor,06-08-2019,0,24.9,33,70.8,89.6,0.7,3.4
Adilabad,Bheempoor,07-08-2019,2.3,25.1,30.6,73.6,94,0.2,3.5
Adilabad,Bheempoor,08-08-2019,11,24.7,28,86.5,95,0.7,2.8
Adilabad,Bheempoor,09-08-2019,27.3,24.5,26.3,83.7,96.7,0.5,4.2
Adilabad,Bheempoor,10-08-2019,0,26.5,31.9,68.9,87.4,0.4,3.6
Adilabad,Bheempoor,11-08-2019,0,24.7,33.1,62.1,94.9,0,3.2
Adilabad,Bheempoor,12-08-2019,0,25,34,62.6,94.6,0,2.1
Adilabad,Bheempoor,13-08-2019,14,26,32.9,63,96.5,0,2.5
Adilabad,Bheempoor,14-08-2019,9,24.5,28.8,80.1,97.6,0,1.8
Adilabad,Bheempoor,15-08-2019,0,25.6,32.1,69.2,96.1,0,2.8
Adilabad,Bheempoor,16-08-2019,0,25.9,33.7,60.8,94.5,0,3.1
Adilabad,Bheempoor,17-08-2019,0,24.2,33.7,57.8,96.4,0,2.1
Adilabad,Bheempoor,18-08-2019,0,25.6,34.1,57.9,95.3,0,1.7
