,District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
0,Adilabad,Bheempoor,01-10-2019,0,23.7,33.4,66.9,97.7,0,2.6
1,Adilabad,Jainad,01-10-2019,0,23.6,32.55,68.95,97.1,0.1,10.1
2,Adilabad,Bela,01-10-2019,0,24.2,33.2,74.45,97.25,0.1,13.6
3,Adilabad,Gadiguda,01-10-2019,0,23.7,32.6,84.2,99.9,0,8.9
4,Adilabad,Narnoor,01-10-2019,0,23,31,76.2,96.2,0,8.9
5,Adilabad,Inderavelly,01-10-2019,0,23.2,33.4,66.2,97.3,0,2.3
6,Adilabad,Gudihathnur,01-10-2019,0,22.1,33.3,58.8,96.2,0,14.8
7,Adilabad,Adilabad Rural,01-10-2019,0,24.6,35.2,65.8,96.9,0,13.9
8,Adilabad,Adilabad Urban,01-10-2019,0,23.95,32.6,65.25,96.85,0.2,2.1
9,Adilabad,Mavala,01-10-2019,0,22.4,31.7,61.8,94,0,13.9
10,Adilabad,Tamsi,01-10-2019,0,22.9,35,60.9,99,0,0.1
11,Adilabad,Talamadugu,01-10-2019,0.2,23.15,32.15,68.4,93.65,0,14.9
12,Adilabad,Bazarhathnoor,01-10-2019,0,22.4,31.5,70.2,100,0,24.9
13,Adilabad,Boath,01-10-2019,0,22.45,31.65,64.75,93.25,0.1,24.9
14,Adilabad,Neradigonda,01-10-2019,0,22.6,33.9,65.9,99.7,0.1,2.2
15,Adilabad,Ichoda,01-10-2019,0,22.4,32.6,68.9,99.9,0,14.8
16,Adilabad,Sirikonda,01-10-2019,0,22.6,31.8,68.5,98.7,0,2.3
17,Adilabad,Utnur,01-10-2019,0,22.3,29.4,76.2,98.1,0,1.9
70,Nizamabad,Navipet,01-10-2019,0.3,23.2,31.8,89.1,100,0,6.3
71,Nizamabad,Nandipet,01-10-2019,1.7,23.4,33.95,78.35,98.25,0,18.8
72,Nizamabad,Armur,01-10-2019,3.9,22.86,31.06,63.9,98.56,0,18.8
73,Nizamabad,Balkonda,01-10-2019,0,22.9,30.4,74,84.6,0,0.4
74,Nizamabad,Mupkal,01-10-2019,0,23.3,30.9,74.2,91.2,0,0.4
75,Nizamabad,Mendora,01-10-2019,0,23.5,31.3,74.3,97.7,0,0.4
76,Nizamabad,Yergatla,01-10-2019,0.5,22.9,30.5,82,100,0,2.9
77,Nizamabad,Kammarpalle,01-10-2019,14.8,22.5,30,71,97.65,0,4.1
78,Nizamabad,Mortad,01-10-2019,30.1,22.5,32.8,96.4,100,0,1
79,Nizamabad,Vailpur,01-10-2019,23.5,23.2,31.8,71.3,96.6,0,1.6
80,Nizamabad,Jakranpalle,01-10-2019,0.8,23.8,30.3,76.7,93.8,0,0.5
81,Nizamabad,Makloor,01-10-2019,19.5,22.65,30.6,68.6,98.55,0,6.8
82,Nizamabad,Nizamabad_North,01-10-2019,0.5,23.4,32.1,67.4,95,0,0.1
83,Nizamabad,Yeda_Palle,01-10-2019,0.3,23.5,32.8,76.6,98.7,0,6.9
84,Nizamabad,Ranjal,01-10-2019,0,23.4,32.2,81.9,100,0,6.8
85,Nizamabad,Bodhan,01-10-2019,0,23,32.175,75.025,97.4,0,14.7
86,Nizamabad,Kotgiri,01-10-2019,0,22.9,32.9,80.9,98.2,0,16
87,Nizamabad,Rudrur,01-10-2019,0,22.7,34.3,81.3,100,0,16
88,Nizamabad,Varni,01-10-2019,1.7,23.3,32.7,71.5,98.1,0.1,4.9
89,Nizamabad,Nizamabad_Rural,01-10-2019,0,23.2,31.8,84,100,0,0.2
90,Nizamabad,Nizamabad_South,01-10-2019,1.2,23.6,34.1,60.8,100,0,0.1
91,Nizamabad,Mugpal,01-10-2019,2.3,23.3,34,56.7,90.4,0,2.2
92,Nizamabad,Dichpalle,01-10-2019,17.9,22.3,30.85,64.5,86.7,0,8.1
93,Nizamabad,Indalwai,01-10-2019,14.5,22.2,31.2,89.6,100,0,0.7
94,Nizamabad,Dharpalle,01-10-2019,0,23.1,31.6,71.2,97,0,10.2
95,Nizamabad,Bheemgal,01-10-2019,2.9,23.7,30.8,73.9,94.5,0,1.5
96,Nizamabad,Sirkonda,01-10-2019,0,22.56666667,32.46666667,81.1,99,0,12
97,Nizamabad,Mosra,01-10-2019,18.5,22.6,32.4,73.6,96.2,0,1.6
98,Nizamabad,Chandur,01-10-2019,0,23,34.3,81.3,100,0,16
181,Warangal Rural,Parkal,01-10-2019,3,23.1,31.6,78.9,100,0,5.1
182,Warangal Rural,Shayampet,01-10-2019,0.7,23.1,32.6,77.5,100,0,15.6
183,Warangal Rural,Damera,01-10-2019,0.4,23.3,31.9,74.4,99.85,0,2.8
184,Warangal Rural,Geesugonda,01-10-2019,0,24.7,31.45,71.4,95.3,0,4.7
185,Warangal Rural,Atmakur,01-10-2019,0.8,23.2,33.1,78.1,99.9,0,15.6
186,Warangal Rural,Duggondi,01-10-2019,0.4,22.5,32.7,74,99.9,0,6.7
