dmcode,district,mandal,date,rain,temp_min,temp_max,humidity_min,humidity_max,wind_speed_max,wind_speed_min
101,Adilabad,Bheempoor,01-07-2020,2.5,25.2,36.7,51.8,92.8,4.5,0
101,Adilabad,Bheempoor,02-07-2020,4,26.4,36.7,50.4,90.3,2.9,0
101,Adilabad,Bheempoor,03-07-2020,5,25.5,36.3,57.1,96.3,2.7,0.1
101,Adilabad,Bheempoor,04-07-2020,0,24.9,35.1,64.4,89.6,2,0.1
101,Adilabad,Bheempoor,05-07-2020,1.8,24.8,32.8,69.4,96.2,2.9,0
101,Adilabad,Bheempoor,06-07-2020,32.5,24.5,33.3,63.2,96.9,2.1,0.4
101,Adilabad,Bheempoor,07-07-2020,0.5,26.3,30.8,77.5,95.8,2.5,0
101,Adilabad,Bheempoor,08-07-2020,1.8,24.1,32.9,64.8,94.7,3.8,0
101,Adilabad,Bheempoor,09-07-2020,0,25.6,35.4,56.5,90.9,3.5,0.2
101,Adilabad,Bheempoor,10-07-2020,0.5,25.4,34.4,62.8,96.6,2.9,0
101,Adilabad,Bheempoor,11-07-2020,0,26.7,32.4,70,88.3,3.5,0
101,Adilabad,Bheempoor,12-07-2020,0,27.6,34.8,58.1,85.5,2.8,0
101,Adilabad,Bheempoor,13-07-2020,9.8,24.5,36.1,54.4,97.2,2.7,0
101,Adilabad,Bheempoor,14-07-2020,0,26,33.8,63.2,94.3,1.8,0
101,Adilabad,Bheempoor,15-07-2020,24.5,24.6,33.1,68.5,98,1.6,0
101,Adilabad,Bheempoor,16-07-2020,13.5,25.1,27.8,87.8,97.5,2.5,0
101,Adilabad,Bheempoor,17-07-2020,0,24.9,31.3,73.1,93.4,2.5,0.2
101,Adilabad,Bheempoor,18-07-2020,0,25.1,32.5,63.5,95.7,2.7,0
101,Adilabad,Bheempoor,19-07-2020,0,26.8,35.5,56.8,91.3,2.3,0
101,Adilabad,Bheempoor,20-07-2020,18.3,25.3,35.3,60.1,96.7,2.8,0.2
101,Adilabad,Bheempoor,21-07-2020,0,26.1,32.6,72.9,95.6,1.8,0
101,Adilabad,Bheempoor,22-07-2020,0,25.9,34.4,61.4,96.6,2.9,0
101,Adilabad,Bheempoor,23-07-2020,27.8,22.5,35.8,59.7,97.9,2.4,0.1
101,Adilabad,Bheempoor,24-07-2020,13,24.1,26.8,90.5,98.5,1.8,0
101,Adilabad,Bheempoor,25-07-2020,2,24.8,32.3,67,96.6,2,0
101,Adilabad,Bheempoor,26-07-2020,0,24.7,33.3,61.2,96.3,2.9,0
101,Adilabad,Bheempoor,27-07-2020,0,24.7,33.5,61,96.3,2.5,0
101,Adilabad,Bheempoor,28-07-2020,0.5,25.6,36.9,49.3,97.2,3.2,0
101,Adilabad,Bheempoor,29-07-2020,23.5,23.2,35.6,59,98.6,3.2,0
101,Adilabad,Bheempoor,30-07-2020,0,25.2,33.2,68.9,97.9,1.7,0
101,Adilabad,Bheempoor,31-07-2020,1.5,26.1,34,66.9,98.5,1,0
101,Adilabad,Bheempoor,01-08-2020,3.3,24.9,35.2,62.5,97.8,3.3,0
101,Adilabad,Bheempoor,02-08-2020,0,24.8,33,72.6,97.7,1.3,0
101,Adilabad,Bheempoor,03-08-2020,3,25.6,36.2,59.7,97.6,1.7,0
101,Adilabad,Bheempoor,04-08-2020,0,25.8,31.8,74.8,96.2,2.1,0
101,Adilabad,Bheempoor,05-08-2020,0,25.7,31.3,75.3,92.4,3.2,0.1
101,Adilabad,Bheempoor,06-08-2020,0,25.7,31.3,74.9,86.2,2.5,0
101,Adilabad,Bheempoor,07-08-2020,0,26.6,31.5,68.8,93.2,4.5,0.1
101,Adilabad,Bheempoor,08-08-2020,0,27,34.1,60.7,85.3,3,0.2
101,Adilabad,Bheempoor,09-08-2020,0,26.2,31.8,70.1,95.9,2.3,0
101,Adilabad,Bheempoor,10-08-2020,9.8,24.4,28,82.9,96.9,2,0
101,Adilabad,Bheempoor,11-08-2020,12.5,23.6,26.9,88.1,97.3,4.3,0.4
101,Adilabad,Bheempoor,12-08-2020,0,25.1,27.9,84.5,93.7,2.1,0
101,Adilabad,Bheempoor,13-08-2020,32.5,23.6,30.1,76.6,97.7,3.7,0.3
