District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Apr-21,0,24.4,41.9,10.6,28.8,0,10.3
Adilabad,Adilabad Rural,02-Apr-21,0,26.2,37.7,11,26.3,0,11.2
Adilabad,Adilabad Rural,03-Apr-21,0,22.3,38.8,9.5,38.3,0,9.4
Adilabad,Adilabad Rural,04-Apr-21,0,21.3,39.9,7.9,29.2,0,6.3
Adilabad,Adilabad Rural,05-Apr-21,0,24.1,38.7,8.7,45.7,0,6.3
Adilabad,Adilabad Rural,06-Apr-21,0,25,39.1,7.7,83.7,2.1,4.6
Adilabad,Adilabad Rural,07-Apr-21,0,23.5,39.2,9.5,76.5,0.2,4
Adilabad,Adilabad Rural,08-Apr-21,0,25.6,40.1,12.6,51.2,0,3.6
Adilabad,Adilabad Rural,09-Apr-21,0,27.9,38.8,16.5,45.5,0,13.2
Adilabad,Adilabad Rural,10-Apr-21,0,25.2,39.7,19.3,64.7,0.4,9.1
Adilabad,Adilabad Rural,11-Apr-21,0.8,21.4,39.8,23.7,92.2,2,19.4
Adilabad,Adilabad Rural,12-Apr-21,0,22.3,32.3,44.6,83.5,0,1.8
Adilabad,Adilabad Rural,13-Apr-21,0,23.3,36.4,21.8,52.8,0.1,3
Adilabad,Adilabad Rural,14-Apr-21,0,24,34.7,27,77.6,0.1,4.7
Adilabad,Adilabad Rural,15-Apr-21,0,22,35.1,31.2,69.4,0,13.3
Adilabad,Adilabad Rural,16-Apr-21,0,21.2,36.7,18.4,69.5,0,30.1
Adilabad,Adilabad Rural,17-Apr-21,0,24.5,39.2,15.2,62.2,0.6,3.1
Adilabad,Adilabad Rural,18-Apr-21,0,23.3,39.6,10.7,61.7,0,6.5
Adilabad,Adilabad Rural,19-Apr-21,0,25.4,42.2,11.3,62.6,3.8,8.3
Adilabad,Adilabad Rural,20-Apr-21,0,26.1,39.2,11.1,54.7,0,2
Adilabad,Adilabad Rural,21-Apr-21,0,26,42.3,12,71.3,2,8.7
Adilabad,Adilabad Rural,22-Apr-21,0,23.8,39.6,28.4,69.9,1.1,3.8
Adilabad,Adilabad Rural,23-Apr-21,0,24.7,38.9,14.3,62.2,0.5,5.2
Adilabad,Adilabad Rural,24-Apr-21,0,24.5,39.5,13.3,57,1.3,4.8
Adilabad,Adilabad Rural,25-Apr-21,0,24.3,39.5,9.4,46.5,0,8.6
Adilabad,Adilabad Rural,26-Apr-21,0,27.8,42.4,11.8,48.7,0.2,2.3
Adilabad,Adilabad Rural,27-Apr-21,0,23.8,39.9,16.7,54.6,0,3.6
Adilabad,Adilabad Rural,28-Apr-21,0,24.5,42,10.7,46.5,0.1,5.7
Adilabad,Adilabad Rural,29-Apr-21,0,25.3,40.1,10.4,42.6,0.1,4.3
Adilabad,Adilabad Rural,30-Apr-21,0,27.1,39.9,9.8,57.7,0.3,4.9
Adilabad,Adilabad Urban,01-Apr-21,0,24.1,41.7,13.6,48.4,0,3.1
Adilabad,Adilabad Urban,02-Apr-21,0,25.4,41.1,15.9,33.7,0,3.8
Adilabad,Adilabad Urban,03-Apr-21,0,21.5,39.7,9.5,32.1,0,10.6
Adilabad,Adilabad Urban,04-Apr-21,0,20.2,40.1,5.2,30.6,0,3.4
Adilabad,Adilabad Urban,05-Apr-21,0,23.9,40,5.8,43.2,0,8.1
Adilabad,Adilabad Urban,06-Apr-21,0,24.3,40,5.8,74.4,0,5.9
Adilabad,Adilabad Urban,07-Apr-21,0,27.5,41.6,7,73.6,0,6.7
Adilabad,Adilabad Urban,08-Apr-21,0,27,41.4,7.7,61.5,0,3.7
Adilabad,Adilabad Urban,09-Apr-21,0,27.4,40.5,11.9,52.3,0,8.8
Adilabad,Adilabad Urban,10-Apr-21,0,27.7,40.1,10.4,65.7,0,5.5
Adilabad,Adilabad Urban,11-Apr-21,4.4,21.8,39.5,12.7,89.8,0,11.4
Adilabad,Adilabad Urban,12-Apr-21,0,22,33.3,38.9,88.3,0,4.4
Adilabad,Adilabad Urban,13-Apr-21,0,24.9,39,18.9,69.1,0,5.3
Adilabad,Adilabad Urban,14-Apr-21,3.5,25.3,36.8,17.7,71.8,0,5.1
Adilabad,Adilabad Urban,15-Apr-21,0,21.5,38.2,22.4,76.2,0,5.9
Adilabad,Adilabad Urban,16-Apr-21,0,20.6,37.6,12.3,73.6,0,5.8
Adilabad,Adilabad Urban,17-Apr-21,0,25.8,39.2,9.8,59.1,0,6.2
Adilabad,Adilabad Urban,18-Apr-21,0,23.3,41,6.6,63.1,0,6.1
Adilabad,Adilabad Urban,19-Apr-21,0,27.9,41.2,6.9,58.7,0,4
Adilabad,Adilabad Urban,20-Apr-21,0,25.9,41.9,6.3,50.1,0,3.8
Adilabad,Adilabad Urban,21-Apr-21,0,27.8,42.2,7.5,68.3,0,7.8
Adilabad,Adilabad Urban,22-Apr-21,0,25.6,40.4,11.3,65.1,0,5.5
Adilabad,Adilabad Urban,23-Apr-21,0,23.8,40.4,16.9,53.1,0,4.2
Adilabad,Adilabad Urban,24-Apr-21,0,23.5,40.1,7.6,61.7,0,4
Adilabad,Adilabad Urban,25-Apr-21,0,24.7,41.4,5.9,46.4,0,5.7
Adilabad,Adilabad Urban,26-Apr-21,0,28.6,42.5,12,51.6,0,5.5
Adilabad,Adilabad Urban,27-Apr-21,2.5,26.3,41.4,12.1,62.7,0,9.8
Adilabad,Adilabad Urban,28-Apr-21,0,28.2,40.4,14,48.9,0,5.6
Adilabad,Adilabad Urban,29-Apr-21,0,25.3,42.2,17,47.3,0,4.9
Adilabad,Adilabad Urban,30-Apr-21,0,28.7,42.6,15.3,57.9,0,8.3
Adilabad,Bazarhathnoor,01-Apr-21,0,24,39,16.2,46.8,0.9,10.7
Adilabad,Bazarhathnoor,02-Apr-21,0,24.1,38.4,17.4,35.9,0.3,16.7
Adilabad,Bazarhathnoor,03-Apr-21,0,20.9,39.8,14.9,47.2,0,9.9
Adilabad,Bazarhathnoor,04-Apr-21,0,21.9,39.9,13.7,57.4,0,10.8
Adilabad,Bazarhathnoor,05-Apr-21,0,23.4,37.7,17.6,59.4,0,12.5
Adilabad,Bazarhathnoor,06-Apr-21,0,24,38.4,14.2,74.3,0,10.6
Adilabad,Bazarhathnoor,07-Apr-21,0,22.9,41,17.8,80.1,0,14.5
Adilabad,Bazarhathnoor,08-Apr-21,0,22.1,39.9,21.9,61.3,0,8.8
Adilabad,Bazarhathnoor,09-Apr-21,0,23,36.6,26.9,55.4,0,14.9
Adilabad,Bazarhathnoor,10-Apr-21,0,23.7,37.4,22.2,74,0.4,15
Adilabad,Bazarhathnoor,11-Apr-21,0,22.5,37.3,30.6,75.2,0.7,15.4
Adilabad,Bazarhathnoor,12-Apr-21,0,20.2,32.4,46.7,84.3,0,11.1
Adilabad,Bazarhathnoor,13-Apr-21,0,21.5,36.6,28.5,68.4,0,10.9
Adilabad,Bazarhathnoor,14-Apr-21,0,23,35.6,31.8,70.7,0,22.3
Adilabad,Bazarhathnoor,15-Apr-21,0.7,18.8,35.7,28.3,75.1,0.2,19.1
Adilabad,Bazarhathnoor,16-Apr-21,0,19.8,35.8,26.2,60.8,0,7.9
Adilabad,Bazarhathnoor,17-Apr-21,0,20.5,36.2,23.5,63.2,0,11.9
Adilabad,Bazarhathnoor,18-Apr-21,0,21.1,38.3,23.7,61.3,0,11.1
Adilabad,Bazarhathnoor,19-Apr-21,0,23.9,39.3,17.6,55.9,0.1,11.2
Adilabad,Bazarhathnoor,20-Apr-21,0,23.9,40.2,18.3,47.2,0,11
Adilabad,Bazarhathnoor,21-Apr-21,0,24.6,40.2,17.8,69,0,18.7
Adilabad,Bazarhathnoor,22-Apr-21,0,21,37.3,26.5,63.8,0,13.5
Adilabad,Bazarhathnoor,23-Apr-21,0,22.5,38.2,23.1,52.9,0,8.7
Adilabad,Bazarhathnoor,24-Apr-21,0,20.6,36.4,20.8,55.4,0,9.1
Adilabad,Bazarhathnoor,25-Apr-21,0,21,38.7,19.6,54.5,1.2,10.2
Adilabad,Bazarhathnoor,26-Apr-21,0,27.5,41.9,16.4,45.3,0,9.5
Adilabad,Bazarhathnoor,27-Apr-21,1.3,23.6,39.8,23.1,57.9,2,17.1
Adilabad,Bazarhathnoor,28-Apr-21,0,24.3,38.6,18.9,54.4,0,13.1
Adilabad,Bazarhathnoor,29-Apr-21,0,22.5,40.5,19.2,52.1,0,9.9
Adilabad,Bazarhathnoor,30-Apr-21,0,25.3,40,19.9,57.4,0,19.2
Adilabad,Bela,01-Apr-21,0,27,41.1,11.6,43.8,0,15.1
Adilabad,Bela,02-Apr-21,0,24,39.9,15.8,35.1,0,16.3
Adilabad,Bela,03-Apr-21,0,21.1,41.5,6.6,33,0,10
