District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Aug-21,0,25,31.9,54.8,76.4,2.6,11.7
Adilabad,Adilabad Rural,02-Aug-21,0.5,24.4,31.5,56.5,72.8,2.3,15.2
Adilabad,Adilabad Rural,03-Aug-21,7,23.5,32.4,53.7,100,0,15.1
Adilabad,Adilabad Rural,04-Aug-21,7.8,24,31.2,62.2,99.8,0,14.8
Adilabad,Adilabad Rural,05-Aug-21,2.5,24,33.6,58.5,100,0,14
Adilabad,Adilabad Rural,06-Aug-21,2.5,24.7,31.2,68,96.2,0,11.1
Adilabad,Adilabad Rural,07-Aug-21,19.8,23.6,31,63,100,0,11.4
Adilabad,Adilabad Rural,08-Aug-21,0,25.9,33.3,59.4,76.2,0,9.6
Adilabad,Adilabad Rural,09-Aug-21,0,26.3,33.9,51.4,84.9,0,7.2
Adilabad,Adilabad Rural,10-Aug-21,4,28.2,34.9,52.7,84.4,0,7.4
Adilabad,Adilabad Rural,11-Aug-21,0,27.7,34.9,58.2,81.6,0,8.4
Adilabad,Adilabad Rural,12-Aug-21,0,26.9,34.8,52.2,83.6,0,10.8
Adilabad,Adilabad Rural,13-Aug-21,0.5,25,34.8,66.1,91.8,0,9
Adilabad,Adilabad Rural,14-Aug-21,0,25,34.5,59.3,92.7,0,11.5
Adilabad,Adilabad Rural,15-Aug-21,0,24.6,34.3,54.3,91.9,0,11.2
Adilabad,Adilabad Rural,16-Aug-21,4,24.8,35.1,50.2,94.1,0,8.4
Adilabad,Adilabad Rural,17-Aug-21,15.3,24.1,32.3,57,90.9,0,7.5
Adilabad,Adilabad Rural,18-Aug-21,4,24.2,29.8,73.9,96.3,0,6.3
Adilabad,Adilabad Rural,19-Aug-21,37.3,23.5,30,72.6,90.8,0,7.3
Adilabad,Adilabad Rural,20-Aug-21,14,24,28.5,68.6,80,0,7
Adilabad,Adilabad Rural,21-Aug-21,7.3,24.4,31,66.2,81,0,5.5
Adilabad,Adilabad Rural,22-Aug-21,8.3,24.9,33.4,62.3,82,0,11.5
Adilabad,Adilabad Rural,23-Aug-21,0,25.1,34.7,56.4,82.1,0,7.1
Adilabad,Adilabad Rural,24-Aug-21,0.5,24.5,35,58.3,87.6,0,10.8
Adilabad,Adilabad Rural,25-Aug-21,26.8,25.2,34.8,57,86.7,0,7.7
Adilabad,Adilabad Rural,26-Aug-21,10,25.1,34.8,54.6,88.2,0,8.4
Adilabad,Adilabad Rural,27-Aug-21,1.5,24.1,34,54.7,83.2,0,7.6
Adilabad,Adilabad Rural,28-Aug-21,17.8,26.4,34.4,52,81,0,8.7
Adilabad,Adilabad Rural,29-Aug-21,18.8,26.5,33.1,51.7,85.8,0,7.6
Adilabad,Adilabad Rural,30-Aug-21,12,27,31.3,70.2,84.4,0,8.4
Adilabad,Adilabad Rural,31-Aug-21,26.8,26.7,32.9,64.4,86.4,0,7.8
Adilabad,Adilabad Urban,01-Aug-21,0,25.2,30.3,59.3,89.6,0,5.8
Adilabad,Adilabad Urban,02-Aug-21,0,24.7,30.1,64.3,90.2,0,6.6
Adilabad,Adilabad Urban,03-Aug-21,13.5,24.1,31.4,63.3,99.4,0,7.4
Adilabad,Adilabad Urban,04-Aug-21,1.1,25.3,31.7,57.6,97,0,4.7
Adilabad,Adilabad Urban,05-Aug-21,0.8,25.3,32.3,57.2,97.1,0,4.5
Adilabad,Adilabad Urban,06-Aug-21,1,25.3,32.3,58.1,95.9,0,3.8
Adilabad,Adilabad Urban,07-Aug-21,34,24,32.3,63.9,98.9,0,4.8
Adilabad,Adilabad Urban,08-Aug-21,0.7,25.2,33.7,50.8,96.1,0,1.2
Adilabad,Adilabad Urban,09-Aug-21,5.4,24.5,33.7,46.2,98.9,0,0.4
Adilabad,Adilabad Urban,10-Aug-21,0,26,35.5,43.2,96.3,0,0.3
Adilabad,Adilabad Urban,11-Aug-21,2.3,25.2,33.2,45.1,95.7,0,2.6
Adilabad,Adilabad Urban,12-Aug-21,0.9,24.4,34,58.5,97.3,0,1.7
Adilabad,Adilabad Urban,13-Aug-21,0,25.5,33.2,45.1,94.2,0,2.6
Adilabad,Adilabad Urban,14-Aug-21,0,23.9,33,40,94.7,0,1.3
Adilabad,Adilabad Urban,15-Aug-21,0,24.9,34.2,54.5,94.2,0,1.7
Adilabad,Adilabad Urban,16-Aug-21,2.3,24.6,33.8,39.5,96.7,0,2.4
Adilabad,Adilabad Urban,17-Aug-21,43.2,23.9,32.3,65.2,99,0,2.8
Adilabad,Adilabad Urban,18-Aug-21,17,24.2,29.4,77.6,99.4,0,1.2
Adilabad,Adilabad Urban,19-Aug-21,79.4,24.1,30.7,69.5,99.9,0,1.2
Adilabad,Adilabad Urban,20-Aug-21,18.7,23.9,30,76.5,100,0,1.8
Adilabad,Adilabad Urban,21-Aug-21,4.5,23.2,30.8,60.4,98.6,0,0.5
Adilabad,Adilabad Urban,22-Aug-21,0.9,24,32.5,66.3,97.5,0,1
Adilabad,Adilabad Urban,23-Aug-21,0,24.6,33.3,59.5,98.2,0,2.6
Adilabad,Adilabad Urban,24-Aug-21,2,23.6,33.4,50.9,98.4,0,3.2
Adilabad,Adilabad Urban,25-Aug-21,0,24,33.9,51.5,98.3,0,2.8
Adilabad,Adilabad Urban,26-Aug-21,0.3,23.9,33.9,44.5,96.5,0,2.3
Adilabad,Adilabad Urban,27-Aug-21,6.2,23.7,33.4,52.4,98.1,0,1.3
Adilabad,Adilabad Urban,28-Aug-21,0,24.4,33.2,55.4,97.4,0,3.4
Adilabad,Adilabad Urban,29-Aug-21,11.6,24.2,33.3,50.9,98.9,0,1.9
Adilabad,Adilabad Urban,30-Aug-21,1.2,24.9,31.5,59.9,98.9,0,1.8
Adilabad,Adilabad Urban,31-Aug-21,31.2,24.3,32.7,70,99.4,0,0.6
Adilabad,Bazarhathnoor,01-Aug-21,0,23.9,30,65.9,77.8,2.9,9.9
Adilabad,Bazarhathnoor,02-Aug-21,4.2,22.9,29,67.8,91,1.8,8.9
Adilabad,Bazarhathnoor,03-Aug-21,0,23.5,29.8,62.9,87.6,1.4,10.5
Adilabad,Bazarhathnoor,04-Aug-21,9,23.1,29.9,62.9,92,0,10.5
Adilabad,Bazarhathnoor,05-Aug-21,0,24.4,31.3,62.4,89.5,0,8.4
Adilabad,Bazarhathnoor,06-Aug-21,0,23.9,29.2,67.7,90.5,0,8.3
Adilabad,Bazarhathnoor,07-Aug-21,0,23.6,28.8,68.2,92.8,0,7.3
Adilabad,Bazarhathnoor,08-Aug-21,0,24.4,32.3,54.8,89,0,7.7
Adilabad,Bazarhathnoor,09-Aug-21,0,22.8,31.4,63.9,92,0,5.6
Adilabad,Bazarhathnoor,10-Aug-21,0,25.2,33,53.3,85.3,0,7.8
Adilabad,Bazarhathnoor,11-Aug-21,0,24.5,32.5,58.9,85.3,0,8
Adilabad,Bazarhathnoor,12-Aug-21,0,23.6,31.3,58.4,86.2,0,8.7
Adilabad,Bazarhathnoor,13-Aug-21,0,24.6,31.3,60.9,87.6,0.1,9.1
