District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Jul-21,16.8,24.7,35.4,54.9,95.3,0,2.5
Adilabad,Adilabad Rural,02-Jul-21,17,25.7,35.2,49.8,82.5,0.3,3.3
Adilabad,Adilabad Rural,03-Jul-21,0,26.3,33.5,57,86.4,0.2,2.5
Adilabad,Adilabad Rural,04-Jul-21,0,26.3,36.7,39,84.1,0,2.1
Adilabad,Adilabad Rural,05-Jul-21,0,28,36.4,42.5,75.8,0,1.9
Adilabad,Adilabad Rural,06-Jul-21,0,27.1,34.6,49.4,85.3,0,1.9
Adilabad,Adilabad Rural,07-Jul-21,0,26.8,35,47.9,81,0,3.6
Adilabad,Adilabad Rural,08-Jul-21,10.5,23.9,36.3,49.4,90.3,0,3
Adilabad,Adilabad Rural,09-Jul-21,4.3,24.6,28.1,78.1,85.2,0,1.8
Adilabad,Adilabad Rural,10-Jul-21,12.5,25,30.5,71.4,89.7,0,2.4
Adilabad,Adilabad Rural,11-Jul-21,45,24.1,33.4,63.5,95.7,0,3.7
Adilabad,Adilabad Rural,12-Jul-21,23.8,23.9,32.8,69.9,94.8,0,2.4
Adilabad,Adilabad Rural,13-Jul-21,3,25,33.4,64.5,96.5,0,1.8
Adilabad,Adilabad Rural,14-Jul-21,39.5,24.9,32,66.6,99.4,0,0.9
Adilabad,Adilabad Rural,15-Jul-21,10,24.6,30.7,73.2,96.9,0,2.3
Adilabad,Adilabad Rural,16-Jul-21,4.3,26,31.8,66.7,82.7,0,2.7
Adilabad,Adilabad Rural,17-Jul-21,0,25.9,32.6,65.8,96.1,0,2
Adilabad,Adilabad Rural,18-Jul-21,0,26.8,32.8,67.4,93.8,0,1.2
Adilabad,Adilabad Rural,19-Jul-21,1,24.4,34.9,56.7,97.6,0,1.5
Adilabad,Adilabad Rural,20-Jul-21,8.8,24.9,34.1,58.1,98.6,0.1,1.6
Adilabad,Adilabad Rural,21-Jul-21,48.3,23.5,31.8,57.9,88.2,0.2,3
Adilabad,Adilabad Rural,22-Jul-21,43.8,23.3,26.4,73.9,86.1,0.2,1.4
Adilabad,Adilabad Rural,23-Jul-21,76.5,23.9,26.5,78.7,88.6,0,1.4
Adilabad,Adilabad Rural,24-Jul-21,6.5,23.6,27.7,65.7,78.9,0.1,2
Adilabad,Adilabad Rural,25-Jul-21,48.5,24.2,33.6,64,84.7,0,1.9
Adilabad,Adilabad Rural,26-Jul-21,0.8,24.2,34.4,55,84.6,0.2,3.4
Adilabad,Adilabad Rural,27-Jul-21,0,26,32.7,56.4,84.6,0,1.8
Adilabad,Adilabad Rural,28-Jul-21,0.5,25.3,32.4,52.3,71.9,0,2.4
Adilabad,Adilabad Rural,29-Jul-21,0,25.7,34.1,54.6,76.8,0,2.1
Adilabad,Adilabad Rural,30-Jul-21,0,25.1,29.5,58.4,68.8,0.1,1.5
Adilabad,Adilabad Rural,31-Jul-21,0,26.1,30.9,56.9,66.5,0.3,1.7
Adilabad,Adilabad Urban,01-Jul-21,4.2,25.6,35.3,52.8,99.9,0,4.9
Adilabad,Adilabad Urban,02-Jul-21,24.1,23,32.8,57.4,96.9,0,6.8
Adilabad,Adilabad Urban,03-Jul-21,0,26.7,32.7,64.2,99.9,0,4.3
Adilabad,Adilabad Urban,04-Jul-21,0,25.3,34.3,46.3,90.2,0,3.9
