District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Jun-21,7.5,26.8,37.2,27.9,68.5,0.2,7
Adilabad,Adilabad Rural,02-Jun-21,5.3,23.7,36.3,32.7,85.6,0,4.2
Adilabad,Adilabad Rural,03-Jun-21,0,25.3,33.3,48.6,84.2,0,2
Adilabad,Adilabad Rural,04-Jun-21,0,27.5,35.8,38.5,57.9,0.3,3.7
Adilabad,Adilabad Rural,05-Jun-21,20.5,23.5,32.8,39,88.4,0,8.7
Adilabad,Adilabad Rural,06-Jun-21,0,25.5,33.4,36.1,67.3,0,2.3
Adilabad,Adilabad Rural,07-Jun-21,0,26.1,36.1,35.1,73.1,0,3.5
Adilabad,Adilabad Rural,08-Jun-21,0,26.7,34.2,39.2,78.1,0,3.8
Adilabad,Adilabad Rural,09-Jun-21,0,25.8,34.7,38.1,86.8,0.2,4.5
Adilabad,Adilabad Rural,10-Jun-21,0,25.5,35,43.7,79.2,0.3,2.5
Adilabad,Adilabad Rural,11-Jun-21,6.8,23.5,33.3,49.1,88.1,0.3,2.5
Adilabad,Adilabad Rural,12-Jun-21,36,22.2,30.6,71.1,88.9,0.1,3.5
Adilabad,Adilabad Rural,13-Jun-21,0,24.7,31,63.9,87.8,0.2,3.1
Adilabad,Adilabad Rural,14-Jun-21,55.8,22.5,34.1,64.4,100,0.7,3.8
Adilabad,Adilabad Rural,15-Jun-21,84.5,21.5,34.6,55.6,100,0.1,2.8
Adilabad,Adilabad Rural,16-Jun-21,24.5,22,36.7,44.2,95.6,0.2,3.5
Adilabad,Adilabad Rural,17-Jun-21,0,25,35,45.4,66,0.2,4.7
Adilabad,Adilabad Rural,18-Jun-21,13.3,23.7,31.5,52.2,99.2,0,3.4
Adilabad,Adilabad Rural,19-Jun-21,0,26.8,35.2,42.8,78.4,0.8,4.3
Adilabad,Adilabad Rural,20-Jun-21,1.3,25.1,34.7,43.8,82.2,0.3,2.4
Adilabad,Adilabad Rural,21-Jun-21,0,24.5,35.1,44.1,81,0,2.7
Adilabad,Adilabad Rural,22-Jun-21,0,27.5,36.9,34.8,76.2,0,2.7
Adilabad,Adilabad Rural,23-Jun-21,15.5,23.4,36.4,36.2,100,0,3
Adilabad,Adilabad Rural,24-Jun-21,0.8,24.9,32.5,57.5,92.6,0.1,1.8
Adilabad,Adilabad Rural,25-Jun-21,0,24.9,33,55,73,0.1,2.6
Adilabad,Adilabad Rural,26-Jun-21,0,25.7,34,53,86.4,0.2,3.7
Adilabad,Adilabad Rural,27-Jun-21,25.5,22.6,34.8,46.6,92.1,0,3.9
Adilabad,Adilabad Rural,28-Jun-21,42.3,23.8,35.8,44.6,84.4,0,3.7
Adilabad,Adilabad Rural,29-Jun-21,10,26.8,33.6,55.5,87.6,0,3.3
Adilabad,Adilabad Rural,30-Jun-21,0,27.4,36.6,42.2,84.5,0,1.8
Adilabad,Adilabad Urban,01-Jun-21,0,28.5,39.8,28.7,67.8,0,8
Adilabad,Adilabad Urban,02-Jun-21,40.8,23.6,39.4,32,96.3,0,7.7
Adilabad,Adilabad Urban,03-Jun-21,0,24.8,33,53.8,96.2,0,2.6
Adilabad,Adilabad Urban,04-Jun-21,0,27.7,34.6,41.1,80.3,0,7.4
Adilabad,Adilabad Urban,05-Jun-21,12.6,23.7,32.6,45.4,94.6,0,11.2
