District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Nov-21,0,15.4,32.1,32.1,84.7,0,0
Adilabad,Adilabad Rural,02-Nov-21,0,18.6,31.9,31.3,78.7,0,0
Adilabad,Adilabad Rural,03-Nov-21,0,21.7,32.5,41,81.2,0,0
Adilabad,Adilabad Rural,04-Nov-21,0,22.7,33.7,41.7,82.2,0,0
Adilabad,Adilabad Rural,05-Nov-21,0,22.1,33.5,47.2,81.9,0,0
Adilabad,Adilabad Rural,06-Nov-21,0,19.8,33.4,41.1,82.3,0,0
Adilabad,Adilabad Rural,07-Nov-21,0,18.6,32.4,40.1,82.2,0,0
Adilabad,Adilabad Rural,08-Nov-21,0,16,33.3,30.7,81.6,0,0
Adilabad,Adilabad Rural,09-Nov-21,0,16,31.8,25.6,80.7,0,0
Adilabad,Adilabad Rural,10-Nov-21,0,14.7,31.9,26.8,81,0,0
Adilabad,Adilabad Rural,11-Nov-21,0,16.5,31.8,29.9,79,0,0
Adilabad,Adilabad Rural,12-Nov-21,0,20.6,31.7,34.5,66,0,0
Adilabad,Adilabad Rural,13-Nov-21,0,24,30.7,50.1,81.7,0,0
Adilabad,Adilabad Rural,14-Nov-21,0,23.8,30.6,60.1,97.4,0,0
Adilabad,Adilabad Rural,15-Nov-21,1.3,21.2,29.8,75,100,0,0
Adilabad,Adilabad Rural,16-Nov-21,1,21.7,28.5,79.6,99.2,0,0
Adilabad,Adilabad Rural,17-Nov-21,6.5,22.1,30.6,71.5,99.6,0,0
Adilabad,Adilabad Rural,18-Nov-21,0,22.3,31.6,67.2,100,0,0
Adilabad,Adilabad Rural,19-Nov-21,0,19.2,31.7,69.1,100,0,0
Adilabad,Adilabad Rural,20-Nov-21,0,21.5,31,65.3,99.5,0,0
Adilabad,Adilabad Rural,21-Nov-21,3,22.3,30.6,70.2,100,0,0
Adilabad,Adilabad Rural,22-Nov-21,0,21.7,32.1,60.8,99.3,0,0
Adilabad,Adilabad Rural,23-Nov-21,30.3,23.1,33.2,58.6,100,0,0
Adilabad,Adilabad Rural,24-Nov-21,0,20.5,32,66.7,99.7,0,0
Adilabad,Adilabad Rural,25-Nov-21,0,18.7,32.7,50.9,98.2,0,0
Adilabad,Adilabad Rural,26-Nov-21,0,17.3,31.2,56.1,98.2,0,0
Adilabad,Adilabad Rural,27-Nov-21,0,15.7,30.9,54.1,97.5,0,0
Adilabad,Adilabad Rural,28-Nov-21,0,12.1,30.7,40.1,93.7,0,0
Adilabad,Adilabad Rural,29-Nov-21,0,13.7,28,38.6,93.2,0,0
Adilabad,Adilabad Rural,30-Nov-21,0,15.5,29.4,30,92.8,0,0
Adilabad,Adilabad Urban,01-Nov-21,0,13.5,32.5,28,98.7,0,0
Adilabad,Adilabad Urban,02-Nov-21,0,15.3,32.6,26.7,98.4,0,0
Adilabad,Adilabad Urban,03-Nov-21,0,19,34.1,34.6,98.8,0,0
Adilabad,Adilabad Urban,04-Nov-21,0,20.1,33.7,34.2,98.8,0,0
Adilabad,Adilabad Urban,05-Nov-21,0,19.5,33.8,39.5,98.9,0,0
Adilabad,Adilabad Urban,06-Nov-21,0,17.5,33.7,35.5,98.8,0,0
Adilabad,Adilabad Urban,07-Nov-21,0,16,33,33.9,98.8,0,0
Adilabad,Adilabad Urban,08-Nov-21,0,13.4,33.5,27.3,98.6,0,0
Adilabad,Adilabad Urban,09-Nov-21,0,13.2,32.6,25.3,98.4,0,0
Adilabad,Adilabad Urban,10-Nov-21,0,12,33,26.8,98.4,0,0
Adilabad,Adilabad Urban,11-Nov-21,0,13.7,32.1,26.7,98.3,0,0
Adilabad,Adilabad Urban,12-Nov-21,0,16.9,32.9,32.3,94.4,0,0
Adilabad,Adilabad Urban,13-Nov-21,0,20.9,33.9,41,97.8,0,0
Adilabad,Adilabad Urban,14-Nov-21,0,23.5,32.9,61.9,97.6,0,0
Adilabad,Adilabad Urban,15-Nov-21,4.3,22.8,31.5,58,99.5,0,0
Adilabad,Adilabad Urban,16-Nov-21,0,22.2,33.4,56.5,98.7,0,0
Adilabad,Adilabad Urban,17-Nov-21,18,22.2,33.7,51,98.7,0,0
Adilabad,Adilabad Urban,18-Nov-21,0,22.3,32.7,54.5,99.3,0,0
Adilabad,Adilabad Urban,19-Nov-21,0,20.1,33,49.2,98.8,0,0
Adilabad,Adilabad Urban,20-Nov-21,0,22.4,35,51,98.5,0,0
Adilabad,Adilabad Urban,21-Nov-21,0.8,22.9,33,52.6,99.4,0,0
Adilabad,Adilabad Urban,22-Nov-21,0,22.8,34.4,40,98.7,0,0
Adilabad,Adilabad Urban,23-Nov-21,0.1,23.6,33.6,44.7,99.3,0,0
Adilabad,Adilabad Urban,24-Nov-21,0,20.7,32.7,48.1,99.4,0,0
Adilabad,Adilabad Urban,25-Nov-21,0,18.4,35.2,46.8,99.1,0,0
Adilabad,Adilabad Urban,26-Nov-21,0,17.5,33.2,36.1,99,0,0
Adilabad,Adilabad Urban,27-Nov-21,0,16,34,36.9,98.9,0,0
Adilabad,Adilabad Urban,28-Nov-21,0,12.6,33.1,29.7,98.5,0,0
Adilabad,Adilabad Urban,29-Nov-21,0,14.4,30.7,27.7,97.7,0,0
Adilabad,Adilabad Urban,30-Nov-21,0,15.8,29.9,33.3,97.5,0,0
Adilabad,Bazarhathnoor,01-Nov-21,0,12.6,30.6,44,91.5,0,0
Adilabad,Bazarhathnoor,02-Nov-21,0,16,30,35.2,86.7,0,0
Adilabad,Bazarhathnoor,03-Nov-21,0,18.7,31.2,47.7,94.7,0,0
Adilabad,Bazarhathnoor,04-Nov-21,0,19.9,31.8,53.2,95.3,0,0
Adilabad,Bazarhathnoor,05-Nov-21,0,19.1,30.2,64,96.6,0,0
Adilabad,Bazarhathnoor,06-Nov-21,0,16,31.6,51.5,93,0,0
Adilabad,Bazarhathnoor,07-Nov-21,0,14.9,29.4,51.5,93,0,0
Adilabad,Bazarhathnoor,08-Nov-21,0,12.5,28.6,45.3,89.9,0,0
Adilabad,Bazarhathnoor,09-Nov-21,0,11.9,27.9,41.4,89.4,0,0
Adilabad,Bazarhathnoor,10-Nov-21,0,11.4,27.6,42,87.1,0,0
Adilabad,Bazarhathnoor,11-Nov-21,0,13.9,27.8,40.9,82.3,0,0
Adilabad,Bazarhathnoor,12-Nov-21,0.3,19.6,26.9,54.4,70.7,0,0
Adilabad,Bazarhathnoor,13-Nov-21,0,20.8,27.9,64.8,88.7,0,0
Adilabad,Bazarhathnoor,14-Nov-21,34.5,22.8,29.3,68.7,93.9,0,0
Adilabad,Bazarhathnoor,15-Nov-21,0.7,21,26.5,79.8,96,0,0
Adilabad,Bazarhathnoor,16-Nov-21,0,22.1,28.1,74.7,92.4,0,0
Adilabad,Bazarhathnoor,17-Nov-21,0.9,22.4,28.5,73.8,92.9,0,0
Adilabad,Bazarhathnoor,18-Nov-21,0,21.6,30.5,67.8,95,0,0
Adilabad,Bazarhathnoor,19-Nov-21,0,21,30.2,67.8,91.9,0,0
Adilabad,Bazarhathnoor,20-Nov-21,0.5,22.5,29.7,66.9,90.1,0,0
Adilabad,Bazarhathnoor,21-Nov-21,0,21.5,28.8,71,94.5,0,0
Adilabad,Bazarhathnoor,22-Nov-21,0,21.3,30,65.9,95,0,0
Adilabad,Bazarhathnoor,23-Nov-21,0,22.5,29.1,71.4,93.9,0,0
Adilabad,Bazarhathnoor,24-Nov-21,0,19.1,30.5,65.9,95.2,0,0
Adilabad,Bazarhathnoor,25-Nov-21,0,16.7,30.8,54.4,94.5,0,0
Adilabad,Bazarhathnoor,26-Nov-21,0,16.1,29.7,57.4,94.5,0,0
Adilabad,Bazarhathnoor,27-Nov-21,0,14.9,29.2,54.9,93.5,0,0
Adilabad,Bazarhathnoor,28-Nov-21,0,11.3,28,44.2,89.6,0,0
Adilabad,Bazarhathnoor,29-Nov-21,0,15.3,26.7,39.9,76.4,0,0
Adilabad,Bazarhathnoor,30-Nov-21,0,15.9,25,42.7,81.8,0,0
Adilabad,Bela,01-Nov-21,0,12.7,31.8,37,99.4,0,0
Adilabad,Bela,02-Nov-21,0,16,31.9,40.4,98.8,0,0
Adilabad,Bela,03-Nov-21,0,18.7,32.5,46.8,99.9,0,0
Adilabad,Bela,04-Nov-21,0,19.9,32.9,54.3,100,0,0
Adilabad,Bela,05-Nov-21,0,19.2,33,57.9,100,0,0
Adilabad,Bela,06-Nov-21,0,16.4,32.9,48.5,100,0,0
Adilabad,Bela,07-Nov-21,0,15.1,32.2,44.6,99.2,0,0
Adilabad,Bela,08-Nov-21,0,12.8,31.4,38.6,99.4,0,0
Adilabad,Bela,09-Nov-21,0,13.2,31.2,34.2,98,0,0
Adilabad,Bela,10-Nov-21,0,11.9,31.2,35.4,98.6,0,0
Adilabad,Bela,11-Nov-21,0,13.7,31.3,35.9,96.6,0,0
Adilabad,Bela,12-Nov-21,0,17.7,30.8,39.8,91.4,0,0
Adilabad,Bela,13-Nov-21,0,21.9,30.9,53.3,98.2,0,0
Adilabad,Bela,14-Nov-21,0.3,23.7,32.7,58.8,100,0,0
Adilabad,Bela,15-Nov-21,0,21.7,29.8,79.4,100,0,0
Adilabad,Bela,16-Nov-21,0,22.2,32.2,71.5,100,0,0
Adilabad,Bela,17-Nov-21,2.2,22.4,31.9,66.8,100,0,0
Adilabad,Bela,18-Nov-21,0,21.8,32.3,65.7,100,0,0
Adilabad,Bela,19-Nov-21,0,19.4,32.7,57.5,100,0,0
Adilabad,Bela,20-Nov-21,0,22.2,32.5,53.7,100,0,0
Adilabad,Bela,21-Nov-21,0,22.8,33.6,54.1,100,0,0
Adilabad,Bela,22-Nov-21,0,22.6,35.2,44.5,100,0,0
Adilabad,Bela,23-Nov-21,5.2,23.8,33.6,56.6,100,0,0
Adilabad,Bela,24-Nov-21,0,20.2,32.9,61.4,100,0,0
Adilabad,Bela,25-Nov-21,0,17.6,33.6,40.1,100,0,0
Adilabad,Bela,26-Nov-21,0,17.4,32.8,43.1,100,0,0
Adilabad,Bela,27-Nov-21,0,15.2,32.3,40.9,100,0,0
Adilabad,Bela,28-Nov-21,0,11.5,31.2,26.6,99.8,0,0
Adilabad,Bela,29-Nov-21,0,13.6,30.5,25.1,96.7,0,0
Adilabad,Bela,30-Nov-21,0,15.4,29,31.2,94.9,0,0
Adilabad,Bheempoor,01-Nov-21,0,12.6,31.4,44.1,100,0,0
Adilabad,Bheempoor,02-Nov-21,0,13.8,30.8,44.1,99.4,0,0
Adilabad,Bheempoor,03-Nov-21,0,18.2,30.4,59,100,0,0
Adilabad,Bheempoor,04-Nov-21,0,20.3,32.3,55.9,100,0,0
