District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Oct-21,0,25.3,34.5,44.8,92.1,0,11.3
Adilabad,Adilabad Rural,02-Oct-21,50.5,25.9,35.4,51.1,86.8,0,10.5
Adilabad,Adilabad Rural,03-Oct-21,0,26.1,31.3,68.9,87.9,0,6.4
Adilabad,Adilabad Rural,04-Oct-21,0,24.3,35.2,49.4,84.7,0,7.1
Adilabad,Adilabad Rural,05-Oct-21,0,24.7,34.6,56.7,83.6,0,7.4
Adilabad,Adilabad Rural,06-Oct-21,0,25.2,34.3,56.1,86,0,9
Adilabad,Adilabad Rural,07-Oct-21,0,24.2,34,57.6,85.5,0,8.6
Adilabad,Adilabad Rural,08-Oct-21,6.3,24.6,34.8,51.1,85.4,0,18.7
Adilabad,Adilabad Rural,09-Oct-21,0,27.2,36.1,46.7,83.8,0,6.2
Adilabad,Adilabad Rural,10-Oct-21,0,25.9,33.2,62.4,85.2,0,7
Adilabad,Adilabad Rural,11-Oct-21,0,22.7,35.4,35.9,84.8,0,6.4
Adilabad,Adilabad Rural,12-Oct-21,0,20.7,34.6,34.8,93.6,0,10.2
Adilabad,Adilabad Rural,13-Oct-21,0,21.8,34.5,38.8,85.6,0,12.2
Adilabad,Adilabad Rural,14-Oct-21,0,22.2,35.1,38.3,83.5,0,5.9
Adilabad,Adilabad Rural,15-Oct-21,0,21.3,35.1,28.7,84,0,11.4
Adilabad,Adilabad Rural,16-Oct-21,28.3,24,33.8,40,76.8,0,10.3
Adilabad,Adilabad Rural,17-Oct-21,4.5,24.1,30.6,66.1,100,0,5.4
Adilabad,Adilabad Rural,18-Oct-21,0,24.6,31.3,65.6,99.1,0,6.5
Adilabad,Adilabad Rural,19-Oct-21,0,25.1,33.4,60.6,85.4,0,8.7
Adilabad,Adilabad Rural,20-Oct-21,0,19.8,34.2,37.8,79.1,0,8.2
Adilabad,Adilabad Rural,21-Oct-21,0,19.2,33.1,43.8,78.7,0,6.6
Adilabad,Adilabad Rural,22-Oct-21,0,16.7,34.8,35.5,79.1,0,8.2
Adilabad,Adilabad Rural,23-Oct-21,0,16.4,35,29.5,78.9,0,7.7
Adilabad,Adilabad Rural,24-Oct-21,0,17.4,34.3,32.9,79.4,0,8.1
Adilabad,Adilabad Rural,25-Oct-21,0,17.9,34.3,40.4,79.7,0,5.3
Adilabad,Adilabad Rural,26-Oct-21,0,17,34.3,36.4,79.1,0,9.6
Adilabad,Adilabad Rural,27-Oct-21,0,17.6,33.8,36.8,79.2,0,6.5
Adilabad,Adilabad Rural,28-Oct-21,0,18,33.1,41.9,80,0,8.8
Adilabad,Adilabad Rural,29-Oct-21,0,17.8,33.2,38.5,79.5,0,11.6
Adilabad,Adilabad Rural,30-Oct-21,0,20.1,32.2,42.5,81.3,0,9.6
Adilabad,Adilabad Rural,31-Oct-21,0,18.9,31.3,39.2,82.9,0,10.2
Adilabad,Adilabad Urban,01-Oct-21,0,23.8,34.7,53.1,99.2,0,0.6
Adilabad,Adilabad Urban,02-Oct-21,16.7,23.6,35.4,42.3,99.7,0,4.2
Adilabad,Adilabad Urban,03-Oct-21,0,23.7,30.6,65.7,99.7,0,0.4
Adilabad,Adilabad Urban,04-Oct-21,0.5,24.4,35.1,39.8,99.3,0,0.7
Adilabad,Adilabad Urban,05-Oct-21,0,24.1,33.4,49,99.1,0,0.6
Adilabad,Adilabad Urban,06-Oct-21,0,24.9,34.3,60.6,99.2,0,0.5
Adilabad,Adilabad Urban,07-Oct-21,0,24,33.5,63,99.2,0,0.7
Adilabad,Adilabad Urban,08-Oct-21,0,24.3,34.8,44,99.1,0,0.4
Adilabad,Adilabad Urban,09-Oct-21,0,24.9,35.2,41.2,98.6,0,1.4
Adilabad,Adilabad Urban,10-Oct-21,16.1,23.4,33,55,99.4,0,7
Adilabad,Adilabad Urban,11-Oct-21,0,21.5,34.5,37.2,99.2,0,0.4
Adilabad,Adilabad Urban,12-Oct-21,0,19.4,34.1,31.5,98.4,0,1
Adilabad,Adilabad Urban,13-Oct-21,0,19.3,33.8,34.2,98.5,0,2.9
Adilabad,Adilabad Urban,14-Oct-21,0,21.4,34.4,35.1,98.2,0,0.6
Adilabad,Adilabad Urban,15-Oct-21,0,19,33.6,28.2,98.2,0,1.7
Adilabad,Adilabad Urban,16-Oct-21,22.2,22.4,32.9,37.7,99,0,0.5
Adilabad,Adilabad Urban,17-Oct-21,7.6,23.8,30,67.1,99.6,0,0.3
Adilabad,Adilabad Urban,18-Oct-21,2,23.9,31.4,64.3,99.7,0,3.2
Adilabad,Adilabad Urban,19-Oct-21,0.2,22.4,32.6,65.2,99.1,0,2.5
Adilabad,Adilabad Urban,20-Oct-21,0,19.1,32.8,32.8,98.2,0,0.5
Adilabad,Adilabad Urban,21-Oct-21,0,18.2,32.8,36.9,98.7,0,0.8
Adilabad,Adilabad Urban,22-Oct-21,0,16.6,32.7,30.9,98.4,0,0.3
Adilabad,Adilabad Urban,23-Oct-21,0,15.3,33.2,24.9,98.4,0,0.4
Adilabad,Adilabad Urban,24-Oct-21,0,16.7,32.4,28.9,98.8,0,0.3
Adilabad,Adilabad Urban,25-Oct-21,0,17.1,32.7,30.9,98.8,0,1
Adilabad,Adilabad Urban,26-Oct-21,0,16.4,32.8,26.2,98.5,0,1.1
Adilabad,Adilabad Urban,27-Oct-21,0,16.8,32.8,29.9,98.7,0,0.4
Adilabad,Adilabad Urban,28-Oct-21,0,16.7,32.4,33.9,98.9,0,1.8
Adilabad,Adilabad Urban,29-Oct-21,0,16.3,32.5,31.3,98.6,0,0.7
Adilabad,Adilabad Urban,30-Oct-21,0,17.8,31.8,36.3,98.7,0,1.8
Adilabad,Adilabad Urban,31-Oct-21,0,16.4,32.6,32.6,98.9,0,1.1
Adilabad,Bazarhathnoor,01-Oct-21,0,22.7,33.3,59.9,96,0,8.5
Adilabad,Bazarhathnoor,02-Oct-21,0,23.2,32.4,64.5,94.6,0,7.4
Adilabad,Bazarhathnoor,03-Oct-21,0,23.1,31.3,68.8,96.6,0,7.1
Adilabad,Bazarhathnoor,04-Oct-21,4.6,22.3,32.2,62.5,95.3,0,4.4
Adilabad,Bazarhathnoor,05-Oct-21,0,22.8,32.1,65.5,96,0,7.2
Adilabad,Bazarhathnoor,06-Oct-21,0,23.6,31.9,67.2,97.5,0,7.1
Adilabad,Bazarhathnoor,07-Oct-21,0,22.5,32.5,67.7,97.2,0,9
Adilabad,Bazarhathnoor,08-Oct-21,0,22.3,32.1,66.4,96.3,0,8.9
Adilabad,Bazarhathnoor,09-Oct-21,0,23.2,33.7,58.7,96.6,0,7.1
Adilabad,Bazarhathnoor,10-Oct-21,49.2,22.3,29.6,80.4,95.5,0,8
Adilabad,Bazarhathnoor,11-Oct-21,0,20.3,32.6,45.5,95,0,6.8
Adilabad,Bazarhathnoor,12-Oct-21,0,18.1,32.7,45.3,95.6,0,9
Adilabad,Bazarhathnoor,13-Oct-21,0,18,32.4,46.9,94.7,0,7.7
Adilabad,Bazarhathnoor,14-Oct-21,0,20.4,32.6,49.9,94,0,4.3
Adilabad,Bazarhathnoor,15-Oct-21,0,18.3,32.6,41.4,92.1,0,6.5
Adilabad,Bazarhathnoor,16-Oct-21,18.6,21.9,31.6,47.2,95.5,0,6.6
Adilabad,Bazarhathnoor,17-Oct-21,40.7,22.8,28,81.7,97.2,0,4
Adilabad,Bazarhathnoor,18-Oct-21,0.4,23,30.1,73.1,96.5,0,5.1
Adilabad,Bazarhathnoor,19-Oct-21,1.3,21.4,30.8,70.5,95.7,0,6.6
