District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Sep-21,10,24.6,30.8,70.9,85.1,0,10.2
Adilabad,Adilabad Rural,02-Sep-21,0,27.2,33.3,63.6,85,0,11.2
Adilabad,Adilabad Rural,03-Sep-21,0,25.5,32.8,64.7,86,0,8.3
Adilabad,Adilabad Rural,04-Sep-21,15,24.4,33.5,65.2,86,0,10
Adilabad,Adilabad Rural,05-Sep-21,0,24.1,33.1,64.5,81.6,0,10.2
Adilabad,Adilabad Rural,06-Sep-21,1.8,25.9,33.3,62.6,83.8,0,7.2
Adilabad,Adilabad Rural,07-Sep-21,60.5,23.8,32.7,67.7,84.2,0,9.2
Adilabad,Adilabad Rural,08-Sep-21,12,24.4,30.8,72.2,98.8,0,12.5
Adilabad,Adilabad Rural,09-Sep-21,0,24.6,32.8,63.9,75.2,3.4,13.3
Adilabad,Adilabad Rural,10-Sep-21,0,25.7,33.8,60,77.6,0,10
Adilabad,Adilabad Rural,11-Sep-21,13.5,23.9,34.3,59.3,85.9,0,10.2
Adilabad,Adilabad Rural,12-Sep-21,2.5,25.2,33.3,61.7,73.1,0,10.2
Adilabad,Adilabad Rural,13-Sep-21,3,24.6,34.8,59,80,0,14.9
Adilabad,Adilabad Rural,14-Sep-21,0,25.3,34.9,60.4,79.1,0,7.7
Adilabad,Adilabad Rural,15-Sep-21,1,25.4,32,66.2,84.1,0,12.3
Adilabad,Adilabad Rural,16-Sep-21,0,24.1,32.6,54.7,99.9,0.1,10.4
Adilabad,Adilabad Rural,17-Sep-21,0,24.6,33.4,51.6,78.5,0,13.5
Adilabad,Adilabad Rural,18-Sep-21,0,25.7,30.9,56.1,82.2,0,8.4
Adilabad,Adilabad Rural,19-Sep-21,0,24.5,34.5,48.1,84.6,0,7.9
Adilabad,Adilabad Rural,20-Sep-21,0,25.1,33.9,49.8,79.7,0,5.9
Adilabad,Adilabad Rural,21-Sep-21,0,23.4,30.3,68.4,85.5,0,9.6
Adilabad,Adilabad Rural,22-Sep-21,48,24.7,29.8,72.9,86.1,0,4.6
Adilabad,Adilabad Rural,23-Sep-21,0,22.7,32.2,67.4,85.7,0,9
Adilabad,Adilabad Rural,24-Sep-21,0,24.6,33,65.5,83.8,0,6.8
Adilabad,Adilabad Rural,25-Sep-21,2,24.8,35.4,51.6,78.7,0,7.5
Adilabad,Adilabad Rural,26-Sep-21,8,24.9,31.4,51.8,78.3,0,5.7
Adilabad,Adilabad Rural,27-Sep-21,31,24.4,33.9,56.2,80.8,0,7.5
Adilabad,Adilabad Rural,28-Sep-21,50.3,22.9,31.7,59.9,84.4,3.4,23.9
Adilabad,Adilabad Rural,29-Sep-21,2.8,24.3,29.8,69.9,89.7,1.3,20.9
Adilabad,Adilabad Rural,30-Sep-21,0,23.1,34.2,58.3,100,0,8.9
Adilabad,Adilabad Urban,01-Sep-21,50.5,24,31,66.2,99.1,0,2.1
Adilabad,Adilabad Urban,02-Sep-21,10.1,24.5,32.3,50.9,99.3,0,3.2
Adilabad,Adilabad Urban,03-Sep-21,6.8,24.6,32.1,60.9,99.3,0,4.4
Adilabad,Adilabad Urban,04-Sep-21,34.2,22.2,32.6,69.1,98.9,0,5.1
Adilabad,Adilabad Urban,05-Sep-21,0.1,23.7,32.6,53.1,98.4,0,3.7
Adilabad,Adilabad Urban,06-Sep-21,2,24.4,32.9,51.5,98.8,0,1.4
Adilabad,Adilabad Urban,07-Sep-21,67.1,23.2,32.2,58.9,99.9,0,4.4
Adilabad,Adilabad Urban,08-Sep-21,33,23.2,29.3,75.7,99.4,0,3.2
Adilabad,Adilabad Urban,09-Sep-21,0,24.4,31.8,66.7,88.3,0,6.1
Adilabad,Adilabad Urban,10-Sep-21,0,23.7,32.9,64.4,96.1,0,1.3
Adilabad,Adilabad Urban,11-Sep-21,12.5,23.7,33,47.5,99.2,0,2.6
Adilabad,Adilabad Urban,12-Sep-21,0,23.9,32.8,68.2,98.3,0,2.7
Adilabad,Adilabad Urban,13-Sep-21,0,24.6,33,63.5,96.7,0,2.1
Adilabad,Adilabad Urban,14-Sep-21,1.2,24.8,33.4,62.1,95.7,0,5.5
Adilabad,Adilabad Urban,15-Sep-21,0,25.5,32.4,59.9,94.4,0,2.9
Adilabad,Adilabad Urban,16-Sep-21,12.2,24.3,33.1,49.2,98.4,0,5.2
Adilabad,Adilabad Urban,17-Sep-21,0,24.5,34.2,42.8,97.5,0,5.5
Adilabad,Adilabad Urban,18-Sep-21,0.4,24.5,29.9,53.6,96.6,0,3.8
Adilabad,Adilabad Urban,19-Sep-21,0,23.7,32.9,38.9,98.8,0,0.6
