District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Apr-22,0,22,42.6,15.7,56.2,0,13
Adilabad,Adilabad Rural,02-Apr-22,0,26.6,42,15.7,80.8,2.5,15.1
Adilabad,Adilabad Rural,03-Apr-22,0,26.9,42.2,19.8,78.5,0.1,15.3
Adilabad,Adilabad Rural,04-Apr-22,0,28.3,42.2,24.8,72,0,11.6
Adilabad,Adilabad Rural,05-Apr-22,0,28.2,41,32.1,68.6,2.2,15.8
Adilabad,Adilabad Rural,06-Apr-22,0,27.4,39.1,35.3,69.5,2.7,13.9
Adilabad,Adilabad Rural,07-Apr-22,0,25.1,40.8,27.5,51.5,1.2,10.3
Adilabad,Adilabad Rural,08-Apr-22,0,28.4,42.6,19.6,51.9,0.2,3.7
Adilabad,Adilabad Rural,09-Apr-22,0,28.1,38,24.1,56.6,0,3.9
Adilabad,Adilabad Rural,10-Apr-22,0,27.7,39.6,28.2,61.8,0.1,9.6
Adilabad,Adilabad Rural,11-Apr-22,0,28.4,40.8,26.5,62.2,0.8,19.2
Adilabad,Adilabad Rural,12-Apr-22,0,29.4,41.1,28,56.6,1.5,13.3
Adilabad,Adilabad Rural,13-Apr-22,0,28.5,41.7,28.9,63.7,2.8,15.1
Adilabad,Adilabad Rural,14-Apr-22,0,28.5,41.2,29.6,63.7,2.5,17.4
Adilabad,Adilabad Rural,15-Apr-22,0,29.9,41.6,24.1,56.1,0,14.4
Adilabad,Adilabad Rural,16-Apr-22,0,27.6,41.6,19.6,58.1,0,11.4
Adilabad,Adilabad Rural,17-Apr-22,0,25.6,42.6,18.4,58.1,0,14.2
Adilabad,Adilabad Rural,18-Apr-22,0,29.3,43.1,16.4,61.2,0,18.7
Adilabad,Adilabad Rural,19-Apr-22,0,29.7,42.1,18.4,57.6,0,14.5
Adilabad,Adilabad Rural,20-Apr-22,0,27.3,43,18.4,53.2,0,19.2
Adilabad,Adilabad Rural,21-Apr-22,0,27.8,43.4,17.8,51.2,0,11.8
Adilabad,Adilabad Rural,22-Apr-22,0,27.7,43.5,19.1,52.9,0,14.3
Adilabad,Adilabad Rural,23-Apr-22,0,29.2,36.7,37.6,61.7,0,9.9
Adilabad,Adilabad Rural,24-Apr-22,2,23.1,41.1,30.1,75.9,0.7,15.3
Adilabad,Adilabad Rural,25-Apr-22,0,25,39.2,28.7,57.7,0,10.1
Adilabad,Adilabad Rural,26-Apr-22,0,30.1,42.5,17.8,52.1,0.3,15.4
Adilabad,Adilabad Rural,27-Apr-22,0,27,43.7,16.5,40.5,0,14.4
Adilabad,Adilabad Rural,28-Apr-22,0,30,43.5,17,44.7,0,15.2
Adilabad,Adilabad Rural,29-Apr-22,0,28.6,44.7,17.9,48.7,0.7,15.2
Adilabad,Adilabad Rural,30-Apr-22,0,25.6,43.5,15.7,40.9,0,12.3
Adilabad,Adilabad Urban,01-Apr-22,0,20.2,43.7,11.7,68.8,0,4
Adilabad,Adilabad Urban,02-Apr-22,0,26.2,43.9,11.7,84.4,0,5.4
Adilabad,Adilabad Urban,03-Apr-22,0,26.9,43.2,15.7,80.3,0,5.9
Adilabad,Adilabad Urban,04-Apr-22,0,27.8,41.8,21.8,76.7,0,5.3
Adilabad,Adilabad Urban,05-Apr-22,0,26.7,42.5,22.4,75.5,0,5.8
Adilabad,Adilabad Urban,06-Apr-22,0,27.3,42.1,24.2,75.6,0,5.1
Adilabad,Adilabad Urban,07-Apr-22,0,26.1,41.2,24.2,53.3,0.2,3.8
Adilabad,Adilabad Urban,08-Apr-22,0,27.3,39.5,13.5,59,0,0
Adilabad,Adilabad Urban,09-Apr-22,0,27.9,38.9,28.6,68.6,0,5.3
Adilabad,Adilabad Urban,10-Apr-22,0,28.6,41.1,30.2,67.7,0,7
Adilabad,Adilabad Urban,11-Apr-22,0,28.4,42.1,27.1,63.3,0,6.1
Adilabad,Adilabad Urban,12-Apr-22,0,28.9,42.1,26.9,60.7,0,8.3
Adilabad,Adilabad Urban,13-Apr-22,0,29.7,43.4,26.2,60.3,0,5.7
Adilabad,Adilabad Urban,14-Apr-22,0,29.3,42.3,23.8,59.9,0,7.1
Adilabad,Adilabad Urban,15-Apr-22,0,29,42,18.2,54.7,0,11.2
Adilabad,Adilabad Urban,16-Apr-22,0,27.7,42.2,15.7,53.6,0,6.4
Adilabad,Adilabad Urban,17-Apr-22,0,26.4,43.7,14.4,65.6,0,6.2
Adilabad,Adilabad Urban,18-Apr-22,0,29.2,42.8,13.7,61.2,0,6
Adilabad,Adilabad Urban,19-Apr-22,0,29.3,43.8,14.8,55.3,0,4.3
Adilabad,Adilabad Urban,20-Apr-22,0,25.7,44.2,13.8,59,0,4.2
Adilabad,Adilabad Urban,21-Apr-22,0,26.6,43.9,13.9,55.7,0,8.4
Adilabad,Adilabad Urban,22-Apr-22,0.2,25.3,44.3,15.7,76.3,0,5.5
Adilabad,Adilabad Urban,23-Apr-22,0,28.4,37.6,36,66.3,0,6
Adilabad,Adilabad Urban,24-Apr-22,2.8,22.4,42,24.4,87,0,9.2
Adilabad,Adilabad Urban,25-Apr-22,0,23.5,38.5,30.6,74.1,0,7.2
Adilabad,Adilabad Urban,26-Apr-22,0,28.3,44.7,14,57,0,10.1
Adilabad,Adilabad Urban,27-Apr-22,0,26.3,44.1,13.7,55.6,0,5
Adilabad,Adilabad Urban,28-Apr-22,0,28.1,45.3,12.1,53.2,0,6.5
Adilabad,Adilabad Urban,29-Apr-22,0,26.3,44,13.9,52.1,0,8.7
Adilabad,Adilabad Urban,30-Apr-22,0,24.9,44.7,11.6,51.1,0,3.5
Adilabad,Bazarhathnoor,01-Apr-22,0,16.2,39.6,15.5,67,0,1.6
Adilabad,Bazarhathnoor,02-Apr-22,0,20.6,40.2,15.7,90.1,0,2.6
Adilabad,Bazarhathnoor,03-Apr-22,0,22.4,38.1,28.5,88.7,0.1,2.7
Adilabad,Bazarhathnoor,04-Apr-22,0,22.3,38.6,39.9,85,0,3
Adilabad,Bazarhathnoor,05-Apr-22,0,22.4,38.9,27.2,84,0,2.8
Adilabad,Bazarhathnoor,06-Apr-22,0.3,22.3,36.5,44,87.3,0,2.3
Adilabad,Bazarhathnoor,07-Apr-22,2.4,22.3,37.1,35.3,58.7,0.1,2.1
Adilabad,Bazarhathnoor,08-Apr-22,0,21.7,36.6,35,83.1,0.2,2.2
Adilabad,Bazarhathnoor,09-Apr-22,0,24.9,34.7,41.9,68.2,0.1,2.9
Adilabad,Bazarhathnoor,10-Apr-22,0,23.3,34.8,46.5,79.8,0.2,4.5
Adilabad,Bazarhathnoor,11-Apr-22,0,23.9,36.6,39.8,79.6,0.2,3.6
Adilabad,Bazarhathnoor,12-Apr-22,0,23.6,38.8,39.4,81.5,0.1,2
Adilabad,Bazarhathnoor,13-Apr-22,0,24.9,39,37.6,74.5,0,3.3
Adilabad,Bazarhathnoor,14-Apr-22,0,23.2,36.7,37.3,78.7,0,3.8
Adilabad,Bazarhathnoor,15-Apr-22,0,23.5,38.1,25.1,74.5,0,4.7
Adilabad,Bazarhathnoor,16-Apr-22,0,24.3,38.4,23.5,66.2,0.2,2.1
Adilabad,Bazarhathnoor,17-Apr-22,0,21.7,39.7,20.3,69.8,0.1,1.8
Adilabad,Bazarhathnoor,18-Apr-22,0,24.6,40.8,19.6,73.1,0,1.2
Adilabad,Bazarhathnoor,19-Apr-22,0,24.3,39.9,21,68.1,0,3.1
Adilabad,Bazarhathnoor,20-Apr-22,0,22,39.9,19.2,58.9,0,2.4
Adilabad,Bazarhathnoor,21-Apr-22,0,26.2,40.6,19.2,57.9,0.1,4.3
Adilabad,Bazarhathnoor,22-Apr-22,0,26,41.2,20.6,55.3,0.1,3
Adilabad,Bazarhathnoor,23-Apr-22,0,24.1,33.9,45,77.3,0,1.3
Adilabad,Bazarhathnoor,24-Apr-22,31.4,21.3,38.7,30.6,82.6,0.4,5.7
Adilabad,Bazarhathnoor,25-Apr-22,0,21.3,37.1,37.3,88.7,0,3.8
Adilabad,Bazarhathnoor,26-Apr-22,0,24.2,39.8,20.3,71.7,0.1,11.4
Adilabad,Bazarhathnoor,27-Apr-22,0,21.9,39.6,20.3,53.6,0.1,6.3
Adilabad,Bazarhathnoor,28-Apr-22,0,23.5,40.8,18.5,69.4,0,3.8
Adilabad,Bazarhathnoor,29-Apr-22,0,23,40.9,19.2,64.3,0.1,16.2
Adilabad,Bazarhathnoor,30-Apr-22,0,21.8,41.9,15.7,55.9,0.1,3.7
Adilabad,Bela,01-Apr-22,0,21.4,43.8,6.9,64.6,0,2.6
Adilabad,Bela,02-Apr-22,0,25.6,43.6,6.5,81.3,0,2.9
Adilabad,Bela,03-Apr-22,0,26.4,42.3,7.9,76.5,0,2.9
Adilabad,Bela,04-Apr-22,0,28.2,41.8,13.1,72.5,0.1,2.5
Adilabad,Bela,05-Apr-22,0,28.1,43,14,68.6,0.1,4.8
Adilabad,Bela,06-Apr-22,0,27.4,41.9,18.4,68.7,0.1,3.1
Adilabad,Bela,07-Apr-22,0,27.8,40.9,21.5,58.4,0,3.8
Adilabad,Bela,08-Apr-22,0,27.7,40.5,24,62.4,0.3,3.8
Adilabad,Bela,09-Apr-22,0,28.1,38.5,27.9,66.8,0.1,4.5
Adilabad,Bela,10-Apr-22,0,28.6,40.8,17.8,65.5,0.1,4.5
Adilabad,Bela,11-Apr-22,0,28.3,42.6,14.3,62.7,0,3.8
Adilabad,Bela,12-Apr-22,0,29,42.7,15.4,55.1,0.2,3.8
Adilabad,Bela,13-Apr-22,0,28.8,41,17.2,62.6,0.2,4.4
Adilabad,Bela,14-Apr-22,0,29.4,40.6,27.6,59.2,0.3,4
Adilabad,Bela,15-Apr-22,0,27.9,41,22.3,54.6,0,4.3
Adilabad,Bela,16-Apr-22,0,29.4,42.7,5.4,50.7,0.1,3.7
Adilabad,Bela,17-Apr-22,0,27.1,42.4,16.4,62.5,0,2.3
Adilabad,Bela,18-Apr-22,0,30.3,43.9,14.2,59.2,0.2,5.3
Adilabad,Bela,19-Apr-22,0,30.1,43.8,5.5,53.9,0.1,3.4
Adilabad,Bela,20-Apr-22,0,27.1,44.4,5.4,49.4,0,2.7
Adilabad,Bela,21-Apr-22,0,28.9,43.6,5.4,48.7,0.1,2.6
Adilabad,Bela,22-Apr-22,0,27.6,42.9,5.4,52,0,4.5
Adilabad,Bela,23-Apr-22,0,28.7,37.2,23.4,62.8,0.1,2.3
Adilabad,Bela,24-Apr-22,8.1,22.2,41.9,15.7,80.8,0.1,6.2
Adilabad,Bela,25-Apr-22,0,24.1,38,16.6,72,0,2.5
Adilabad,Bela,26-Apr-22,0,30.5,43.3,5.9,52.7,0,3.3
Adilabad,Bela,27-Apr-22,0,28.9,44.2,6.5,49.1,0,2.8
Adilabad,Bela,28-Apr-22,0,27.3,45.6,5.5,51.3,0,4.6
Adilabad,Bela,29-Apr-22,0,29.4,44.6,5.5,49.3,0.1,7.3
Adilabad,Bela,30-Apr-22,0,26.3,45.3,5.1,38.7,0,3.8
Adilabad,Bheempoor,01-Apr-22,0,18.5,42.1,13.5,49,0,1.4
Adilabad,Bheempoor,02-Apr-22,0,23,42.3,12.9,77.3,0,1.7
Adilabad,Bheempoor,03-Apr-22,0,25.1,42.3,16.5,80.4,0,3
Adilabad,Bheempoor,04-Apr-22,0,24.9,40.7,25.3,73.7,0,2.6
Adilabad,Bheempoor,05-Apr-22,0,25.6,41.7,19.4,75.5,0,2.2
Adilabad,Bheempoor,06-Apr-22,0,26.2,41.8,22,75.4,0,3.2
Adilabad,Bheempoor,07-Apr-22,0,26.9,40.2,26.3,63.7,0,2.9
Adilabad,Bheempoor,08-Apr-22,0,25.9,41.8,24.2,62.3,0,3.3
Adilabad,Bheempoor,09-Apr-22,0,27.2,39.5,30.6,66.9,0.2,4.5
